"Date","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District.of.Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New.Hampshire","New.Jersey","New.Mexico","New.York","New.York.City","North.Carolina","North.Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Puerto.Rico","Rhode.Island","South.Carolina","South.Dakota","Tennessee","Texas","Utah","Vermont","Virgin.Islands","Virginia","Washington","West.Virginia","Wisconsin","Wyoming"
2017-10-01,1757,2727,2355,812,1754,562,1044,72,1917,NA,1832,1527,165,1183,1357,322,900,728,2358,295,768,681,1058,1427,2428,445,166,1284,674,679,1833,797,1198,1313,1065,76,501,1156,845,787,2395,392,1880,1322,485,2153,144,711,516,1264,196,946,1938,1158
2017-10-08,1831,2745,2126,1099,1535,618,1037,70,1969,NA,2018,1092,441,1272,1346,345,1046,995,2351,588,945,892,1189,1433,2239,524,62,1324,652,388,1868,729,1036,1435,1286,412,623,1852,933,852,3546,274,1555,1420,516,2225,159,618,602,1284,293,876,1530,1902
2017-10-15,1831,3724,1873,789,1567,645,1071,33,2017,NA,2102,2205,368,1004,1343,227,948,976,2809,797,805,808,1343,1421,2142,779,59,1821,764,455,2071,934,1373,1628,1012,413,685,1773,1101,927,3600,473,1843,1597,595,2138,223,383,280,1437,432,693,1506,1070
2017-10-22,2091,3284,2107,1351,1723,603,1348,105,1857,NA,2363,2276,444,1138,1545,259,1193,1461,3083,783,906,961,1377,1242,2805,878,57,1898,615,646,2049,856,1370,1732,1375,565,742,1886,1087,976,5513,623,2715,1856,644,2343,542,631,594,1616,292,790,1798,2008
2017-10-29,2456,2767,2583,1180,1984,790,1350,530,1659,NA,2573,2405,948,1187,1724,484,1264,1675,3645,412,796,996,1250,1367,3167,1168,194,2090,941,721,2283,1129,1508,1758,1483,465,729,2246,1296,1106,7458,515,2971,1876,1164,3245,194,492,465,1685,584,809,1565,1877
2017-11-05,2393,2970,2021,1199,1909,899,1439,186,2238,NA,3094,3553,531,1351,1280,551,1674,1602,3972,525,1073,1208,1582,1424,4401,996,128,2576,1044,613,2422,1454,1610,1705,1563,840,863,2643,1494,1219,6719,657,2922,2308,1662,3672,133,580,156,1786,632,686,1748,1698
2017-11-12,2748,3413,2408,2125,1998,1015,1726,106,2311,NA,3183,3017,646,1293,1019,390,2001,2176,4342,805,1979,1275,1503,1643,5288,1265,108,2630,933,375,2460,1500,1629,2280,1831,453,911,2540,1265,1282,9167,665,3135,2724,1451,4420,316,737,687,2027,554,811,937,981
2017-11-19,2802,3451,2043,1706,2219,1201,2392,54,2198,NA,3694,3558,1192,1559,1386,912,2319,1736,5162,909,1774,1662,1868,1660,6086,1397,231,3227,1276,722,2822,1538,1900,2115,2564,1178,1039,2812,1642,1298,7822,745,4191,2208,2008,4572,233,1106,945,2190,821,1680,2030,1147
2017-11-26,2971,3708,3278,2556,1949,1268,2653,182,2644,NA,3330,4521,1219,1859,2043,829,1707,2101,5082,1090,1372,1392,1574,1473,5572,1425,95,2344,1159,769,2778,1275,2098,1736,1718,677,1061,2803,1561,1352,9502,540,4012,2137,1232,5267,276,989,1297,2331,748,1182,1740,1554
2017-12-03,3594,4164,3284,3693,2498,1529,2689,189,2497,NA,3462,4341,1143,1999,2484,955,2533,3328,5242,855,1427,1515,1870,2150,5925,2274,106,2438,1434,624,2808,1789,2391,2525,2011,1284,1350,3036,1856,1366,8188,1784,4068,2120,1428,5832,267,1025,1017,2363,382,1236,2133,2019
2017-12-10,4698,3892,5103,5115,3392,1791,2868,268,2546,NA,3598,3309,774,2999,2310,1146,4056,4816,6723,782,1572,1723,2209,2304,8490,2788,83,3298,2318,786,3225,2393,2657,2612,1934,1665,1253,4903,2489,1461,10156,1421,4469,2092,2372,9367,435,2034,887,2602,508,2404,1949,2213
2017-12-17,7730,4104,6148,9776,4589,2239,3934,504,2254,NA,4673,5966,2022,4198,4720,1589,6317,9648,9614,968,2335,2106,2751,2935,12249,4906,64,3913,2775,831,3527,3159,3817,3034,1901,3778,1881,6817,3802,1697,11427,1554,6688,2532,4877,13449,1221,1003,359,3051,1064,3852,2848,2850
2017-12-24,9148,4620,8498,10950,6842,2570,4214,278,2789,NA,5561,8571,1373,6444,7844,3547,8033,8738,11378,1193,4475,3115,3501,3635,13888,9332,177,5503,3753,788,4659,4543,3584,3603,3802,2347,3292,8254,4890,2522,9712,1524,8356,3457,4468,10953,2178,1797,668,3920,4703,7720,3590,4948
2018-01-07,9455,4334,7375,7692,6665,2732,4478,599,2909,NA,6309,4839,3432,5855,6934,2184,8648,10957,10258,885,3857,2869,2960,4234,9995,10747,119,5051,3560,1825,4883,4596,4564,3601,3026,2720,3026,6565,4789,2572,9760,2361,7800,3015,5081,12591,2096,2676,1523,4347,5145,5537,3793,6622
2018-01-14,11167,4433,5570,10183,4691,2583,5235,843,2884,NA,8962,6450,3683,5189,7702,2339,9247,12292,10202,543,3714,2293,4014,5065,10741,8802,636,3463,2883,1751,4484,4565,6196,3811,4056,4984,3124,8058,4705,2873,13907,3077,7811,3287,5631,12869,2084,2457,2585,4864,3918,5991,4286,5221
2018-01-21,13355,3996,5804,9549,3936,2541,5999,1225,3534,NA,12454,6073,2984,5227,7529,2919,10767,10782,9859,813,4943,3166,4906,5812,9378,11222,539,4357,2427,3123,6268,5773,7444,5148,6556,3438,3715,9378,4988,3854,10647,4379,9805,4098,9293,13034,2600,3258,2109,6148,3430,6354,4162,6916
2018-01-28,11864,4858,4927,8625,3898,3054,6069,2341,4239,NA,14608,6513,2844,5031,8100,3700,10725,9229,8274,1314,5690,3896,5239,6320,10479,11295,415,6767,2599,3568,8346,6660,9175,6395,8049,3375,3805,11191,4664,4735,11633,5310,13156,4750,5427,14566,1757,3993,2349,8505,3788,6406,4774,6954
2018-02-04,12372,6095,4846,11053,4259,3655,6155,3463,5259,NA,15454,5347,3356,5862,7833,3651,11333,10143,8667,1267,5854,5489,5630,6460,9498,10858,702,6877,2923,4803,10009,9949,10938,7507,8640,3405,4198,9398,4621,5882,11957,5818,13762,5385,6832,13934,2011,4593,884,10563,2992,5708,4934,7042
2018-02-11,11820,6004,5244,9788,3819,3173,7158,6281,5081,NA,15111,4813,2433,5585,8360,3456,11656,9780,7728,1527,5292,5422,5204,6735,8754,10033,468,8886,2889,6686,10795,8392,10717,8458,10267,4437,5134,7614,3605,6654,13002,7816,14639,4832,6149,12904,2576,5645,1033,10929,2395,6639,4876,7190
2018-02-18,6656,6992,5173,7629,3714,2909,6194,4704,5300,NA,11851,5091,2137,4941,6442,2565,11646,8886,6682,1523,4741,5069,3996,5688,7741,8786,474,7367,2635,6272,11152,6705,10304,8363,7922,2945,3653,6219,3154,6799,11969,7247,11997,4337,5617,10944,2986,4478,1570,10737,2139,6337,4341,7061
2018-02-25,5655,6283,5131,6268,3511,2721,5267,2699,3889,NA,6431,4365,2478,4004,3885,2050,9297,8476,4434,1578,4145,4614,3417,5328,5809,5425,594,6495,2183,3471,8322,5210,6978,5957,5169,3201,3026,5274,3134,5392,9847,5005,7928,4405,3284,8279,3029,3810,833,7808,2282,2826,3997,6213
